OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,4,0,10,0,10
0,DEGREE,4,0,9,0,11
0,PROTECTION,4,0,8,0,12
1,PROXIMITY,4,0,12,0,8
1,DEGREE,4,0,12,0,8
1,PROTECTION,4,0,9,0,11
2,PROXIMITY,4,0,9,0,11
2,DEGREE,4,0,9,0,11
2,PROTECTION,4,0,6,0,14
3,PROXIMITY,4,0,9,0,11
3,DEGREE,4,0,9,0,11
3,PROTECTION,4,0,7,0,13
4,PROXIMITY,4,0,15,0,5
4,DEGREE,4,0,15,0,5
4,PROTECTION,4,0,11,0,9
5,PROXIMITY,3,0,14,0,6
5,DEGREE,3,0,14,0,6
5,PROTECTION,3,0,11,0,9
6,PROXIMITY,6,0,9,0,11
6,DEGREE,5,0,11,0,9
6,PROTECTION,4,0,7,0,13
7,PROXIMITY,4,0,11,0,9
7,DEGREE,3,0,11,0,9
7,PROTECTION,4,0,10,0,10
8,PROXIMITY,4,0,10,0,10
8,DEGREE,4,0,10,0,10
8,PROTECTION,3,0,8,0,12
9,PROXIMITY,4,0,13,0,7
9,DEGREE,4,0,13,0,7
9,PROTECTION,4,0,10,0,10
10,PROXIMITY,4,0,10,0,10
10,DEGREE,4,0,11,0,9
10,PROTECTION,4,0,9,0,11
11,PROXIMITY,4,0,9,0,11
11,DEGREE,3,0,8,0,12
11,PROTECTION,3,0,9,0,11
12,PROXIMITY,7,0,11,0,9
12,DEGREE,5,0,13,0,7
12,PROTECTION,4,0,10,0,10
13,PROXIMITY,5,0,11,0,9
13,DEGREE,5,0,11,0,9
13,PROTECTION,4,0,10,0,10
14,PROXIMITY,3,0,8,0,12
14,DEGREE,3,0,8,0,12
14,PROTECTION,3,0,5,0,15
15,PROXIMITY,4,0,12,0,8
15,DEGREE,4,0,12,0,8
15,PROTECTION,4,0,11,0,9
16,PROXIMITY,4,0,11,0,9
16,DEGREE,4,0,11,0,9
16,PROTECTION,4,0,9,0,11
17,PROXIMITY,5,0,6,0,14
17,DEGREE,5,0,6,0,14
17,PROTECTION,4,0,6,0,14
18,PROXIMITY,4,0,14,0,6
18,DEGREE,4,0,14,0,6
18,PROTECTION,4,0,14,0,6
19,PROXIMITY,4,0,9,0,11
19,DEGREE,4,0,9,0,11
19,PROTECTION,3,0,7,0,13

