OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,3,0,1,0,19
0,DEGREE,3,0,2,0,18
0,PROTECTION,3,0,1,0,19
1,PROXIMITY,7,0,2,0,18
1,DEGREE,7,0,2,0,18
1,PROTECTION,4,0,4,0,16
2,PROXIMITY,7,0,1,0,19
2,DEGREE,7,0,1,0,19
2,PROTECTION,7,0,1,0,19
3,PROXIMITY,5,0,1,0,19
3,DEGREE,5,0,1,0,19
3,PROTECTION,3,0,2,0,18
4,PROXIMITY,5,0,1,0,19
4,DEGREE,5,0,1,0,19
4,PROTECTION,5,0,2,0,18
5,PROXIMITY,7,0,2,0,18
5,DEGREE,5,0,2,0,18
5,PROTECTION,5,0,2,0,18
6,PROXIMITY,7,0,2,0,18
6,DEGREE,7,0,2,0,18
6,PROTECTION,5,0,3,0,17
7,PROXIMITY,5,0,1,0,19
7,DEGREE,5,0,1,0,19
7,PROTECTION,5,0,1,0,19
8,PROXIMITY,7,0,1,0,19
8,DEGREE,7,0,2,0,18
8,PROTECTION,7,0,1,0,19
9,PROXIMITY,7,0,2,0,18
9,DEGREE,5,0,2,0,18
9,PROTECTION,4,0,4,0,16
10,PROXIMITY,3,0,1,0,19
10,DEGREE,3,0,1,0,19
10,PROTECTION,3,0,2,0,18
11,PROXIMITY,7,0,3,0,17
11,DEGREE,5,0,3,0,17
11,PROTECTION,5,0,2,0,18
12,PROXIMITY,7,0,2,0,18
12,DEGREE,5,0,3,0,17
12,PROTECTION,5,0,2,0,18
13,PROXIMITY,5,0,2,0,18
13,DEGREE,5,0,3,0,17
13,PROTECTION,3,0,3,0,17
14,PROXIMITY,7,0,1,0,19
14,DEGREE,7,0,1,0,19
14,PROTECTION,7,0,1,0,19
15,PROXIMITY,5,0,2,0,18
15,DEGREE,5,0,3,0,17
15,PROTECTION,3,0,2,0,18
16,PROXIMITY,5,0,1,0,19
16,DEGREE,5,0,1,0,19
16,PROTECTION,5,0,1,0,19
17,PROXIMITY,7,0,1,0,19
17,DEGREE,5,0,2,0,18
17,PROTECTION,5,0,3,0,17
18,PROXIMITY,11,0,3,0,17
18,DEGREE,11,0,3,0,17
18,PROTECTION,5,0,6,0,14
19,PROXIMITY,3,0,1,0,19
19,DEGREE,3,0,1,0,19
19,PROTECTION,2,0,2,0,18

