OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,1,0,1,0,19
0,DEGREE,1,0,1,0,19
0,PROTECTION,1,0,1,0,19
1,PROXIMITY,1,0,1,0,19
1,DEGREE,1,0,1,0,19
1,PROTECTION,1,0,1,0,19
2,PROXIMITY,1,0,1,0,19
2,DEGREE,1,0,1,0,19
2,PROTECTION,1,0,1,0,19
3,PROXIMITY,1,0,1,0,19
3,DEGREE,1,0,1,0,19
3,PROTECTION,1,0,1,0,19
4,PROXIMITY,1,0,1,0,19
4,DEGREE,1,0,1,0,19
4,PROTECTION,1,0,1,0,19
5,PROXIMITY,1,0,1,0,19
5,DEGREE,1,0,1,0,19
5,PROTECTION,1,0,1,0,19
6,PROXIMITY,1,0,1,0,19
6,DEGREE,1,0,1,0,19
6,PROTECTION,1,0,1,0,19
7,PROXIMITY,1,0,1,0,19
7,DEGREE,1,0,1,0,19
7,PROTECTION,1,0,1,0,19
8,PROXIMITY,1,0,1,0,19
8,DEGREE,1,0,1,0,19
8,PROTECTION,1,0,1,0,19
9,PROXIMITY,1,0,1,0,19
9,DEGREE,1,0,1,0,19
9,PROTECTION,1,0,1,0,19
10,PROXIMITY,1,0,1,0,19
10,DEGREE,1,0,1,0,19
10,PROTECTION,1,0,1,0,19
11,PROXIMITY,1,0,1,0,19
11,DEGREE,1,0,1,0,19
11,PROTECTION,1,0,1,0,19
12,PROXIMITY,1,0,1,0,19
12,DEGREE,1,0,1,0,19
12,PROTECTION,1,0,1,0,19
13,PROXIMITY,1,0,1,0,19
13,DEGREE,1,0,1,0,19
13,PROTECTION,1,0,1,0,19
14,PROXIMITY,1,0,1,0,19
14,DEGREE,1,0,1,0,19
14,PROTECTION,1,0,1,0,19
15,PROXIMITY,1,0,1,0,19
15,DEGREE,1,0,1,0,19
15,PROTECTION,1,0,1,0,19
16,PROXIMITY,1,0,1,0,19
16,DEGREE,1,0,1,0,19
16,PROTECTION,1,0,1,0,19
17,PROXIMITY,1,0,1,0,19
17,DEGREE,1,0,1,0,19
17,PROTECTION,1,0,1,0,19
18,PROXIMITY,1,0,1,0,19
18,DEGREE,1,0,1,0,19
18,PROTECTION,1,0,1,0,19
19,PROXIMITY,1,0,1,0,19
19,DEGREE,1,0,1,0,19
19,PROTECTION,1,0,1,0,19

