OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,7,0,1,0,9
0,DEGREE,7,0,3,0,7
0,PROTECTION,11,0,1,0,9
1,PROXIMITY,5,0,1,0,9
1,DEGREE,4,0,6,0,4
1,PROTECTION,9,0,1,0,9
2,PROXIMITY,5,0,1,0,9
2,DEGREE,5,0,1,0,9
2,PROTECTION,9,0,1,0,9
3,PROXIMITY,5,0,1,0,9
3,DEGREE,5,0,1,0,9
3,PROTECTION,9,0,1,0,9
4,PROXIMITY,5,0,1,0,9
4,DEGREE,4,0,6,0,4
4,PROTECTION,9,0,1,0,9
5,PROXIMITY,7,0,1,0,9
5,DEGREE,7,0,2,0,8
5,PROTECTION,9,0,1,0,9
6,PROXIMITY,7,0,1,0,9
6,DEGREE,7,0,4,0,6
6,PROTECTION,11,0,1,0,9
7,PROXIMITY,7,0,1,0,9
7,DEGREE,7,0,2,0,8
7,PROTECTION,11,0,1,0,9
8,PROXIMITY,7,0,1,0,9
8,DEGREE,5,0,4,0,6
8,PROTECTION,11,0,1,0,9
9,PROXIMITY,7,0,1,0,9
9,DEGREE,5,0,3,0,7
9,PROTECTION,11,0,1,0,9
