OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,29,0,1,0,19
0,DEGREE,29,0,1,0,19
0,PROTECTION,31,0,1,0,19
1,PROXIMITY,25,0,1,0,19
1,DEGREE,25,0,3,0,17
1,PROTECTION,27,0,1,0,19
2,PROXIMITY,27,0,1,0,19
2,DEGREE,23,0,7,0,13
2,PROTECTION,29,0,1,0,19
3,PROXIMITY,29,0,1,0,19
3,DEGREE,29,0,2,0,18
3,PROTECTION,31,0,1,0,19
4,PROXIMITY,27,0,1,0,19
4,DEGREE,27,0,2,0,18
4,PROTECTION,29,0,1,0,19
5,PROXIMITY,23,0,1,0,19
5,DEGREE,21,0,7,0,13
5,PROTECTION,25,0,1,0,19
6,PROXIMITY,25,0,1,0,19
6,DEGREE,23,0,6,0,14
6,PROTECTION,29,0,1,0,19
7,PROXIMITY,29,0,1,0,19
7,DEGREE,29,0,1,0,19
7,PROTECTION,31,0,1,0,19
8,PROXIMITY,25,0,1,0,19
8,DEGREE,25,0,3,0,17
8,PROTECTION,29,0,1,0,19
9,PROXIMITY,27,0,1,0,19
9,DEGREE,27,0,1,0,19
9,PROTECTION,29,0,1,0,19
10,PROXIMITY,27,0,1,0,19
10,DEGREE,25,0,6,0,14
10,PROTECTION,29,0,1,0,19
11,PROXIMITY,27,0,1,0,19
11,DEGREE,27,0,1,0,19
11,PROTECTION,29,0,1,0,19
12,PROXIMITY,25,0,1,0,19
12,DEGREE,25,0,3,0,17
12,PROTECTION,29,0,1,0,19
13,PROXIMITY,25,0,1,0,19
13,DEGREE,23,0,7,0,13
13,PROTECTION,25,0,1,0,19
14,PROXIMITY,31,0,1,0,19
14,DEGREE,29,0,4,0,16
14,PROTECTION,33,0,1,0,19
15,PROXIMITY,29,0,1,0,19
15,DEGREE,27,0,5,0,15
15,PROTECTION,31,0,1,0,19
16,PROXIMITY,25,0,1,0,19
16,DEGREE,25,0,2,0,18
16,PROTECTION,27,0,1,0,19
17,PROXIMITY,29,0,1,0,19
17,DEGREE,27,0,4,0,16
17,PROTECTION,29,0,1,0,19
18,PROXIMITY,23,0,1,0,19
18,DEGREE,23,0,7,0,13
18,PROTECTION,25,0,1,0,19
19,PROXIMITY,25,0,1,0,19
19,DEGREE,25,0,2,0,18
19,PROTECTION,27,0,1,0,19

