OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,11,0,1,0,19
0,DEGREE,4,0,15,0,5
0,PROTECTION,21,0,1,0,19
1,PROXIMITY,9,0,1,0,19
1,DEGREE,7,0,9,0,11
1,PROTECTION,17,0,1,0,19
2,PROXIMITY,11,0,1,0,19
2,DEGREE,5,0,11,0,9
2,PROTECTION,19,0,1,0,19
3,PROXIMITY,11,0,1,0,19
3,DEGREE,5,0,14,0,6
3,PROTECTION,21,0,1,0,19
4,PROXIMITY,13,0,1,0,19
4,DEGREE,5,0,14,0,6
4,PROTECTION,23,0,1,0,19
5,PROXIMITY,5,0,1,0,19
5,DEGREE,4,0,12,0,8
5,PROTECTION,9,0,1,0,19
6,PROXIMITY,15,0,1,0,19
6,DEGREE,6,0,15,0,5
6,PROTECTION,29,0,1,0,19
7,PROXIMITY,9,0,1,0,19
7,DEGREE,4,0,16,0,4
7,PROTECTION,17,0,1,0,19
8,PROXIMITY,11,0,1,0,19
8,DEGREE,5,0,13,0,7
8,PROTECTION,19,0,1,0,19
9,PROXIMITY,11,0,1,0,19
9,DEGREE,6,0,8,0,12
9,PROTECTION,19,0,1,0,19
10,PROXIMITY,13,0,1,0,19
10,DEGREE,6,0,15,0,5
10,PROTECTION,21,0,1,0,19
11,PROXIMITY,11,0,1,0,19
11,DEGREE,6,0,11,0,9
11,PROTECTION,21,0,1,0,19
12,PROXIMITY,15,0,1,0,19
12,DEGREE,6,0,14,0,6
12,PROTECTION,27,0,1,0,19
13,PROXIMITY,11,0,1,0,19
13,DEGREE,6,0,11,0,9
13,PROTECTION,21,0,1,0,19
14,PROXIMITY,11,0,1,0,19
14,DEGREE,6,0,10,0,10
14,PROTECTION,19,0,1,0,19
15,PROXIMITY,13,0,1,0,19
15,DEGREE,6,0,13,0,7
15,PROTECTION,25,0,1,0,19
16,PROXIMITY,13,0,1,0,19
16,DEGREE,7,0,10,0,10
16,PROTECTION,23,0,1,0,19
17,PROXIMITY,13,0,1,0,19
17,DEGREE,7,0,8,0,12
17,PROTECTION,23,0,1,0,19
18,PROXIMITY,7,0,1,0,19
18,DEGREE,4,0,9,0,11
18,PROTECTION,11,0,1,0,19
19,PROXIMITY,13,0,1,0,19
19,DEGREE,7,0,10,0,10
19,PROTECTION,23,0,1,0,19

