OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,5,0,16,0,4
0,DEGREE,5,0,15,0,5
0,PROTECTION,5,0,9,0,11
1,PROXIMITY,5,0,13,0,7
1,DEGREE,5,0,14,0,6
1,PROTECTION,4,0,11,0,9
2,PROXIMITY,5,0,14,0,6
2,DEGREE,5,0,14,0,6
2,PROTECTION,4,0,13,0,7
3,PROXIMITY,5,0,16,0,4
3,DEGREE,5,0,16,0,4
3,PROTECTION,4,0,13,0,7
4,PROXIMITY,4,0,18,0,2
4,DEGREE,4,0,18,0,2
4,PROTECTION,4,0,12,0,8
5,PROXIMITY,4,0,16,0,4
5,DEGREE,4,0,16,0,4
5,PROTECTION,4,0,12,0,8
6,PROXIMITY,5,0,15,0,5
6,DEGREE,5,0,15,0,5
6,PROTECTION,5,0,11,0,9
7,PROXIMITY,4,0,17,0,3
7,DEGREE,4,0,18,0,2
7,PROTECTION,4,0,15,0,5
8,PROXIMITY,5,0,15,0,5
8,DEGREE,4,0,18,0,2
8,PROTECTION,4,0,11,0,9
9,PROXIMITY,5,0,15,0,5
9,DEGREE,5,0,15,0,5
9,PROTECTION,4,0,11,0,9
10,PROXIMITY,5,0,13,0,7
10,DEGREE,5,0,15,0,5
10,PROTECTION,4,0,11,0,9
11,PROXIMITY,4,0,18,0,2
11,DEGREE,4,0,18,0,2
11,PROTECTION,4,0,13,0,7
12,PROXIMITY,6,0,16,0,4
12,DEGREE,6,0,13,0,7
12,PROTECTION,6,0,10,0,10
13,PROXIMITY,5,0,15,0,5
13,DEGREE,5,0,15,0,5
13,PROTECTION,5,0,12,0,8
14,PROXIMITY,4,0,18,0,2
14,DEGREE,4,0,18,0,2
14,PROTECTION,4,0,14,0,6
15,PROXIMITY,6,0,13,0,7
15,DEGREE,6,0,13,0,7
15,PROTECTION,5,0,10,0,10
16,PROXIMITY,4,0,17,0,3
16,DEGREE,4,0,17,0,3
16,PROTECTION,4,0,13,0,7
17,PROXIMITY,5,0,13,0,7
17,DEGREE,5,0,13,0,7
17,PROTECTION,5,0,11,0,9
18,PROXIMITY,4,0,16,0,4
18,DEGREE,4,0,16,0,4
18,PROTECTION,4,0,12,0,8
19,PROXIMITY,5,0,14,0,6
19,DEGREE,5,0,14,0,6
19,PROTECTION,4,0,11,0,9

