OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,6,0,4,0,6
0,DEGREE,6,0,4,0,6
0,PROTECTION,5,0,4,0,6
1,PROXIMITY,5,0,5,0,5
1,DEGREE,4,0,7,0,3
1,PROTECTION,5,0,3,0,7
2,PROXIMITY,4,0,4,0,6
2,DEGREE,4,0,4,0,6
2,PROTECTION,3,0,4,0,6
3,PROXIMITY,2,0,3,0,7
3,DEGREE,2,0,3,0,7
3,PROTECTION,2,0,2,0,8
4,PROXIMITY,4,0,5,0,5
4,DEGREE,3,0,4,0,6
4,PROTECTION,3,0,4,0,6
5,PROXIMITY,5,0,2,0,8
5,DEGREE,5,0,2,0,8
5,PROTECTION,3,0,3,0,7
6,PROXIMITY,5,0,1,0,9
6,DEGREE,5,0,3,0,7
6,PROTECTION,4,0,3,0,7
7,PROXIMITY,3,0,3,0,7
7,DEGREE,3,0,3,0,7
7,PROTECTION,2,0,4,0,6
8,PROXIMITY,5,0,2,0,8
8,DEGREE,3,0,3,0,7
8,PROTECTION,3,0,2,0,8
9,PROXIMITY,4,0,4,0,6
9,DEGREE,4,0,4,0,6
9,PROTECTION,3,0,3,0,7
