OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,9,0,1,0,19
0,DEGREE,9,0,1,0,19
0,PROTECTION,9,0,1,0,19
1,PROXIMITY,7,0,2,0,18
1,DEGREE,5,0,3,0,17
1,PROTECTION,5,0,3,0,17
2,PROXIMITY,7,0,2,0,18
2,DEGREE,7,0,2,0,18
2,PROTECTION,5,0,2,0,18
3,PROXIMITY,5,0,1,0,19
3,DEGREE,5,0,1,0,19
3,PROTECTION,3,0,2,0,18
4,PROXIMITY,5,0,2,0,18
4,DEGREE,5,0,2,0,18
4,PROTECTION,3,0,2,0,18
5,PROXIMITY,9,0,4,0,16
5,DEGREE,9,0,4,0,16
5,PROTECTION,5,0,4,0,16
6,PROXIMITY,5,0,2,0,18
6,DEGREE,5,0,2,0,18
6,PROTECTION,3,0,2,0,18
7,PROXIMITY,7,0,1,0,19
7,DEGREE,7,0,1,0,19
7,PROTECTION,7,0,1,0,19
8,PROXIMITY,7,0,2,0,18
8,DEGREE,7,0,2,0,18
8,PROTECTION,5,0,2,0,18
9,PROXIMITY,1,0,1,0,19
9,DEGREE,1,0,1,0,19
9,PROTECTION,1,0,1,0,19
10,PROXIMITY,5,0,3,0,17
10,DEGREE,5,0,3,0,17
10,PROTECTION,3,0,3,0,17
11,PROXIMITY,5,0,1,0,19
11,DEGREE,5,0,1,0,19
11,PROTECTION,5,0,1,0,19
12,PROXIMITY,5,0,1,0,19
12,DEGREE,3,0,2,0,18
12,PROTECTION,3,0,2,0,18
13,PROXIMITY,3,0,3,0,17
13,DEGREE,3,0,3,0,17
13,PROTECTION,2,0,3,0,17
14,PROXIMITY,3,0,1,0,19
14,DEGREE,3,0,2,0,18
14,PROTECTION,3,0,1,0,19
15,PROXIMITY,7,0,1,0,19
15,DEGREE,7,0,3,0,17
15,PROTECTION,5,0,3,0,17
16,PROXIMITY,11,0,1,0,19
16,DEGREE,9,0,3,0,17
16,PROTECTION,9,0,3,0,17
17,PROXIMITY,3,0,2,0,18
17,DEGREE,3,0,2,0,18
17,PROTECTION,2,0,2,0,18
18,PROXIMITY,5,0,4,0,16
18,DEGREE,5,0,4,0,16
18,PROTECTION,5,0,3,0,17
19,PROXIMITY,5,0,1,0,19
19,DEGREE,5,0,1,0,19
19,PROTECTION,5,0,1,0,19

