OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,17,0,1,0,19
0,DEGREE,17,0,1,0,19
0,PROTECTION,27,0,1,0,19
1,PROXIMITY,17,0,1,0,19
1,DEGREE,17,0,1,0,19
1,PROTECTION,27,0,1,0,19
2,PROXIMITY,17,0,1,0,19
2,DEGREE,17,0,1,0,19
2,PROTECTION,27,0,1,0,19
3,PROXIMITY,17,0,1,0,19
3,DEGREE,17,0,1,0,19
3,PROTECTION,27,0,1,0,19
4,PROXIMITY,19,0,1,0,19
4,DEGREE,9,0,11,0,9
4,PROTECTION,29,0,1,0,19
5,PROXIMITY,17,0,1,0,19
5,DEGREE,17,0,1,0,19
5,PROTECTION,27,0,1,0,19
6,PROXIMITY,17,0,1,0,19
6,DEGREE,17,0,1,0,19
6,PROTECTION,27,0,1,0,19
7,PROXIMITY,17,0,1,0,19
7,DEGREE,11,0,8,0,12
7,PROTECTION,27,0,1,0,19
8,PROXIMITY,17,0,1,0,19
8,DEGREE,17,0,1,0,19
8,PROTECTION,27,0,1,0,19
9,PROXIMITY,17,0,1,0,19
9,DEGREE,17,0,1,0,19
9,PROTECTION,27,0,1,0,19
10,PROXIMITY,17,0,1,0,19
10,DEGREE,17,0,1,0,19
10,PROTECTION,27,0,1,0,19
11,PROXIMITY,17,0,1,0,19
11,DEGREE,17,0,1,0,19
11,PROTECTION,27,0,1,0,19
12,PROXIMITY,19,0,1,0,19
12,DEGREE,8,0,12,0,8
12,PROTECTION,29,0,1,0,19
13,PROXIMITY,17,0,1,0,19
13,DEGREE,17,0,1,0,19
13,PROTECTION,27,0,1,0,19
14,PROXIMITY,17,0,1,0,19
14,DEGREE,17,0,1,0,19
14,PROTECTION,27,0,1,0,19
15,PROXIMITY,17,0,1,0,19
15,DEGREE,9,0,9,0,11
15,PROTECTION,27,0,1,0,19
16,PROXIMITY,17,0,1,0,19
16,DEGREE,17,0,1,0,19
16,PROTECTION,27,0,1,0,19
17,PROXIMITY,17,0,1,0,19
17,DEGREE,13,0,7,0,13
17,PROTECTION,27,0,1,0,19
18,PROXIMITY,17,0,1,0,19
18,DEGREE,17,0,1,0,19
18,PROTECTION,27,0,1,0,19
19,PROXIMITY,17,0,1,0,19
19,DEGREE,10,0,10,0,10
19,PROTECTION,27,0,1,0,19

