OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,5,0,9,0,11
0,DEGREE,5,0,9,0,11
0,PROTECTION,9,0,3,0,17
1,PROXIMITY,6,0,10,0,10
1,DEGREE,6,0,10,0,10
1,PROTECTION,7,0,6,0,14
2,PROXIMITY,5,0,9,0,11
2,DEGREE,5,0,9,0,11
2,PROTECTION,4,0,8,0,12
3,PROXIMITY,5,0,8,0,12
3,DEGREE,5,0,8,0,12
3,PROTECTION,4,0,7,0,13
4,PROXIMITY,7,0,3,0,17
4,DEGREE,7,0,3,0,17
4,PROTECTION,5,0,4,0,16
5,PROXIMITY,4,0,6,0,14
5,DEGREE,4,0,6,0,14
5,PROTECTION,4,0,5,0,15
6,PROXIMITY,5,0,9,0,11
6,DEGREE,5,0,9,0,11
6,PROTECTION,5,0,5,0,15
7,PROXIMITY,4,0,5,0,15
7,DEGREE,4,0,5,0,15
7,PROTECTION,3,0,3,0,17
8,PROXIMITY,8,0,10,0,10
8,DEGREE,8,0,10,0,10
8,PROTECTION,6,0,8,0,12
9,PROXIMITY,5,0,5,0,15
9,DEGREE,5,0,5,0,15
9,PROTECTION,3,0,5,0,15
10,PROXIMITY,7,0,6,0,14
10,DEGREE,7,0,6,0,14
10,PROTECTION,5,0,6,0,14
11,PROXIMITY,4,0,7,0,13
11,DEGREE,4,0,7,0,13
11,PROTECTION,5,0,4,0,16
12,PROXIMITY,7,0,3,0,17
12,DEGREE,7,0,3,0,17
12,PROTECTION,5,0,4,0,16
13,PROXIMITY,7,0,5,0,15
13,DEGREE,7,0,5,0,15
13,PROTECTION,7,0,4,0,16
14,PROXIMITY,7,0,8,0,12
14,DEGREE,7,0,8,0,12
14,PROTECTION,7,0,5,0,15
15,PROXIMITY,7,0,3,0,17
15,DEGREE,7,0,3,0,17
15,PROTECTION,5,0,4,0,16
16,PROXIMITY,5,0,4,0,16
16,DEGREE,5,0,4,0,16
16,PROTECTION,3,0,5,0,15
17,PROXIMITY,9,0,4,0,16
17,DEGREE,9,0,4,0,16
17,PROTECTION,5,0,6,0,14
18,PROXIMITY,5,0,4,0,16
18,DEGREE,5,0,4,0,16
18,PROTECTION,3,0,5,0,15
19,PROXIMITY,7,0,6,0,14
19,DEGREE,7,0,6,0,14
19,PROTECTION,5,0,7,0,13

