OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,9,0,12,0,8
0,DEGREE,9,0,12,0,8
0,PROTECTION,8,0,11,0,9
1,PROXIMITY,7,0,13,0,7
1,DEGREE,7,0,13,0,7
1,PROTECTION,7,0,10,0,10
2,PROXIMITY,7,0,15,0,5
2,DEGREE,7,0,15,0,5
2,PROTECTION,6,0,13,0,7
3,PROXIMITY,8,0,13,0,7
3,DEGREE,8,0,13,0,7
3,PROTECTION,9,0,9,0,11
4,PROXIMITY,9,0,13,0,7
4,DEGREE,9,0,13,0,7
4,PROTECTION,9,0,10,0,10
5,PROXIMITY,6,0,13,0,7
5,DEGREE,6,0,13,0,7
5,PROTECTION,7,0,9,0,11
6,PROXIMITY,7,0,11,0,9
6,DEGREE,7,0,11,0,9
6,PROTECTION,7,0,7,0,13
7,PROXIMITY,8,0,14,0,6
7,DEGREE,8,0,14,0,6
7,PROTECTION,11,0,8,0,12
8,PROXIMITY,8,0,12,0,8
8,DEGREE,8,0,12,0,8
8,PROTECTION,9,0,9,0,11
9,PROXIMITY,10,0,11,0,9
9,DEGREE,10,0,11,0,9
9,PROTECTION,6,0,12,0,8
10,PROXIMITY,8,0,15,0,5
10,DEGREE,8,0,15,0,5
10,PROTECTION,6,0,12,0,8
11,PROXIMITY,8,0,13,0,7
11,DEGREE,8,0,13,0,7
11,PROTECTION,7,0,12,0,8
12,PROXIMITY,8,0,14,0,6
12,DEGREE,8,0,14,0,6
12,PROTECTION,17,0,4,0,16
13,PROXIMITY,8,0,11,0,9
13,DEGREE,8,0,11,0,9
13,PROTECTION,7,0,9,0,11
14,PROXIMITY,9,0,12,0,8
14,DEGREE,9,0,12,0,8
14,PROTECTION,8,0,11,0,9
15,PROXIMITY,6,0,14,0,6
15,DEGREE,6,0,14,0,6
15,PROTECTION,6,0,11,0,9
16,PROXIMITY,8,0,15,0,5
16,DEGREE,8,0,15,0,5
16,PROTECTION,9,0,10,0,10
17,PROXIMITY,9,0,10,0,10
17,DEGREE,9,0,10,0,10
17,PROTECTION,6,0,10,0,10
18,PROXIMITY,7,0,14,0,6
18,DEGREE,7,0,14,0,6
18,PROTECTION,9,0,8,0,12
19,PROXIMITY,7,0,12,0,8
19,DEGREE,7,0,12,0,8
19,PROTECTION,5,0,8,0,12

