OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,2,0,18,0,2
0,DEGREE,2,0,18,0,2
0,PROTECTION,2,0,16,0,4
1,PROXIMITY,2,0,18,0,2
1,DEGREE,2,0,18,0,2
1,PROTECTION,2,0,13,0,7
2,PROXIMITY,2,0,19,0,1
2,DEGREE,2,0,19,0,1
2,PROTECTION,2,0,13,0,7
3,PROXIMITY,2,0,18,0,2
3,DEGREE,2,0,18,0,2
3,PROTECTION,2,0,15,0,5
4,PROXIMITY,2,0,19,0,1
4,DEGREE,2,0,19,0,1
4,PROTECTION,2,0,17,0,3
5,PROXIMITY,2,0,19,0,1
5,DEGREE,2,0,19,0,1
5,PROTECTION,2,0,16,0,4
6,PROXIMITY,2,0,18,0,2
6,DEGREE,2,0,18,0,2
6,PROTECTION,2,0,13,0,7
7,PROXIMITY,2,0,19,0,1
7,DEGREE,2,0,19,0,1
7,PROTECTION,2,0,17,0,3
8,PROXIMITY,2,0,19,0,1
8,DEGREE,2,0,19,0,1
8,PROTECTION,2,0,14,0,6
9,PROXIMITY,2,0,19,0,1
9,DEGREE,2,0,19,0,1
9,PROTECTION,2,0,16,0,4
10,PROXIMITY,2,0,19,0,1
10,DEGREE,2,0,19,0,1
10,PROTECTION,2,0,12,0,8
11,PROXIMITY,2,0,17,0,3
11,DEGREE,2,0,17,0,3
11,PROTECTION,2,0,15,0,5
12,PROXIMITY,2,0,19,0,1
12,DEGREE,2,0,19,0,1
12,PROTECTION,2,0,14,0,6
13,PROXIMITY,2,0,19,0,1
13,DEGREE,2,0,19,0,1
13,PROTECTION,2,0,17,0,3
14,PROXIMITY,2,0,19,0,1
14,DEGREE,2,0,19,0,1
14,PROTECTION,2,0,17,0,3
15,PROXIMITY,2,0,19,0,1
15,DEGREE,2,0,19,0,1
15,PROTECTION,2,0,15,0,5
16,PROXIMITY,2,0,18,0,2
16,DEGREE,2,0,18,0,2
16,PROTECTION,2,0,15,0,5
17,PROXIMITY,2,0,18,0,2
17,DEGREE,2,0,18,0,2
17,PROTECTION,2,0,15,0,5
18,PROXIMITY,2,0,19,0,1
18,DEGREE,2,0,19,0,1
18,PROTECTION,2,0,15,0,5
19,PROXIMITY,2,0,18,0,2
19,DEGREE,2,0,18,0,2
19,PROTECTION,2,0,16,0,4

