OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,17,0,1,0,19
0,DEGREE,17,0,2,0,18
0,PROTECTION,11,0,7,0,13
1,PROXIMITY,13,0,10,0,10
1,DEGREE,15,0,7,0,13
1,PROTECTION,13,0,5,0,15
2,PROXIMITY,17,0,1,0,19
2,DEGREE,17,0,1,0,19
2,PROTECTION,17,0,1,0,19
3,PROXIMITY,19,0,1,0,19
3,DEGREE,19,0,1,0,19
3,PROTECTION,19,0,1,0,19
4,PROXIMITY,19,0,1,0,19
4,DEGREE,19,0,1,0,19
4,PROTECTION,15,0,4,0,16
5,PROXIMITY,13,0,2,0,18
5,DEGREE,11,0,2,0,18
5,PROTECTION,11,0,2,0,18
6,PROXIMITY,15,0,1,0,19
6,DEGREE,15,0,2,0,18
6,PROTECTION,15,0,2,0,18
7,PROXIMITY,17,0,1,0,19
7,DEGREE,17,0,1,0,19
7,PROTECTION,17,0,1,0,19
8,PROXIMITY,21,0,1,0,19
8,DEGREE,19,0,2,0,18
8,PROTECTION,13,0,6,0,14
9,PROXIMITY,19,0,3,0,17
9,DEGREE,17,0,6,0,14
9,PROTECTION,15,0,6,0,14
10,PROXIMITY,21,0,1,0,19
10,DEGREE,15,0,4,0,16
10,PROTECTION,17,0,3,0,17
11,PROXIMITY,21,0,2,0,18
11,DEGREE,19,0,3,0,17
11,PROTECTION,19,0,4,0,16
12,PROXIMITY,17,0,3,0,17
12,DEGREE,17,0,3,0,17
12,PROTECTION,15,0,4,0,16
13,PROXIMITY,19,0,2,0,18
13,DEGREE,17,0,4,0,16
13,PROTECTION,17,0,3,0,17
14,PROXIMITY,23,0,1,0,19
14,DEGREE,23,0,1,0,19
14,PROTECTION,19,0,3,0,17
15,PROXIMITY,21,0,2,0,18
15,DEGREE,19,0,4,0,16
15,PROTECTION,19,0,3,0,17
16,PROXIMITY,17,0,1,0,19
16,DEGREE,17,0,1,0,19
16,PROTECTION,17,0,1,0,19
17,PROXIMITY,17,0,1,0,19
17,DEGREE,17,0,4,0,16
17,PROTECTION,15,0,3,0,17
18,PROXIMITY,17,0,4,0,16
18,DEGREE,15,0,6,0,14
18,PROTECTION,13,0,4,0,16
19,PROXIMITY,17,0,1,0,19
19,DEGREE,17,0,1,0,19
19,PROTECTION,13,0,3,0,17

