OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,5,0,3,0,7
0,DEGREE,5,0,3,0,7
0,PROTECTION,4,0,4,0,6
1,PROXIMITY,5,0,5,0,5
1,DEGREE,4,0,6,0,4
1,PROTECTION,5,0,5,0,5
2,PROXIMITY,5,0,3,0,7
2,DEGREE,5,0,3,0,7
2,PROTECTION,5,0,2,0,8
3,PROXIMITY,5,0,3,0,7
3,DEGREE,5,0,3,0,7
3,PROTECTION,4,0,5,0,5
4,PROXIMITY,7,0,1,0,9
4,DEGREE,4,0,6,0,4
4,PROTECTION,7,0,1,0,9
5,PROXIMITY,6,0,7,0,3
5,DEGREE,6,0,7,0,3
5,PROTECTION,6,0,5,0,5
6,PROXIMITY,7,0,4,0,6
6,DEGREE,7,0,4,0,6
6,PROTECTION,4,0,5,0,5
7,PROXIMITY,5,0,5,0,5
7,DEGREE,5,0,5,0,5
7,PROTECTION,5,0,4,0,6
8,PROXIMITY,5,0,4,0,6
8,DEGREE,5,0,4,0,6
8,PROTECTION,5,0,2,0,8
9,PROXIMITY,5,0,3,0,7
9,DEGREE,5,0,3,0,7
9,PROTECTION,4,0,4,0,6
