OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,21,0,1,0,19
0,DEGREE,21,0,2,0,18
0,PROTECTION,27,0,1,0,19
1,PROXIMITY,21,0,1,0,19
1,DEGREE,21,0,2,0,18
1,PROTECTION,27,0,1,0,19
2,PROXIMITY,27,0,1,0,19
2,DEGREE,27,0,1,0,19
2,PROTECTION,31,0,1,0,19
3,PROXIMITY,29,0,1,0,19
3,DEGREE,29,0,1,0,19
3,PROTECTION,29,0,1,0,19
4,PROXIMITY,27,0,1,0,19
4,DEGREE,27,0,1,0,19
4,PROTECTION,31,0,1,0,19
5,PROXIMITY,23,0,1,0,19
5,DEGREE,23,0,2,0,18
5,PROTECTION,27,0,1,0,19
6,PROXIMITY,25,0,1,0,19
6,DEGREE,25,0,2,0,18
6,PROTECTION,27,0,1,0,19
7,PROXIMITY,27,0,1,0,19
7,DEGREE,27,0,1,0,19
7,PROTECTION,29,0,1,0,19
8,PROXIMITY,29,0,1,0,19
8,DEGREE,29,0,2,0,18
8,PROTECTION,29,0,1,0,19
9,PROXIMITY,23,0,1,0,19
9,DEGREE,23,0,2,0,18
9,PROTECTION,25,0,1,0,19
10,PROXIMITY,29,0,1,0,19
10,DEGREE,27,0,4,0,16
10,PROTECTION,29,0,1,0,19
11,PROXIMITY,25,0,1,0,19
11,DEGREE,25,0,3,0,17
11,PROTECTION,25,0,1,0,19
12,PROXIMITY,23,0,1,0,19
12,DEGREE,21,0,3,0,17
12,PROTECTION,27,0,1,0,19
13,PROXIMITY,27,0,1,0,19
13,DEGREE,25,0,4,0,16
13,PROTECTION,29,0,1,0,19
14,PROXIMITY,27,0,1,0,19
14,DEGREE,27,0,1,0,19
14,PROTECTION,29,0,1,0,19
15,PROXIMITY,27,0,1,0,19
15,DEGREE,27,0,4,0,16
15,PROTECTION,29,0,1,0,19
16,PROXIMITY,27,0,1,0,19
16,DEGREE,27,0,1,0,19
16,PROTECTION,29,0,1,0,19
17,PROXIMITY,25,0,1,0,19
17,DEGREE,23,0,4,0,16
17,PROTECTION,27,0,1,0,19
18,PROXIMITY,23,0,1,0,19
18,DEGREE,19,0,6,0,14
18,PROTECTION,25,0,1,0,19
19,PROXIMITY,29,0,1,0,19
19,DEGREE,29,0,1,0,19
19,PROTECTION,29,0,1,0,19

